Address,0xDFfB1823e24A76e5682e988DF9C4bF53bf3299De,0xDFfB1823e24A76e5682e988DF9C4bF53bf3299De
0x5B1d9Afcdb997F3CA04D9133Bc7B6419afe723A5,3233035826572202,254324400767043
0x78d21ca1e393fEADF4Fda3D90558A601f9411bc5,33857323558196,2663361616578
0xDa06EfE634A6D52E47bdFeBF55aCbEC6a1159d6B,0,0
0x9E5011617Ed64301Fb8fa9564F50c34D360872a6,1008261042640719,79314118135903
0x3a4ABb0eE1dE2aCcDFE14b80B4DEe78F983b3dcF,113995186026503417,8967348007168980
0xc1C0aE73E89a9ec2136853a7776bCe0181c1c6CB,873125949904717,68683814815348
0xDeEc86988C66618e574ed1eFF2C5CA5745d2916d,102360894432167,8052144960620
0x66cD8317b78a0Cd94CfAc74F108BcF67f31Af89f,3724305591401,292969777823
0xc2C7E949efAA399BaF7fa0dc7faf20fFFAd9d7B2,47344310533277,3724305591401
0x32329fD80bc1b2Fbf5861148590975F0E813bF49,1007421479722540,79248074532452
0xC757065aE8cd8163b98382b4A3284B80aedff6CD,0,0
0x66F1daEa681Cb6A38e7539c0C3446d95DBcB9ebc,0,0
0x4861c074eaF91FAF914caDFB8AF6f0Fb8208CB11,1905521778957679,149896478287955
0x7C3dB44C6D0fFcF5bB0C2FD9c8F5906256C91f3c,40628788269836,3196033939893
0x418c46e5dBF8409aFB48682f4eb63B74f85459F7,16753211718177410,1317879157456262
0xdd4c7f507d86665EFd1c6df75e14e11309285d26,772325168668351,60754395019228
0xE47afD5695dFB99ca9F29466a271Fae578b22E22,58765408671400,4622737930507
0x9aabd039fD0bF767Db26293a039998e85Bd31255,0,0
