Address,0xDFfB1823e24A76e5682e988DF9C4bF53bf3299De,0xDFfB1823e24A76e5682e988DF9C4bF53bf3299De
0x5B1d9Afcdb997F3CA04D9133Bc7B6419afe723A5,2312040006973125,2774448008367750
0x78d21ca1e393fEADF4Fda3D90558A601f9411bc5,24212378332528,29054853999033
0xDa06EfE634A6D52E47bdFeBF55aCbEC6a1159d6B,0,0
0x9E5011617Ed64301Fb8fa9564F50c34D360872a6,721037437599121,865244925118945
0x3a4ABb0eE1dE2aCcDFE14b80B4DEe78F983b3dcF,81521345519718005,97825614623661607
0xc1C0aE73E89a9ec2136853a7776bCe0181c1c6CB,624398316503170,749277979803804
0xDeEc86988C66618e574ed1eFF2C5CA5745d2916d,73201317823825,87841581388590
0x66cD8317b78a0Cd94CfAc74F108BcF67f31Af89f,2663361616578,3196033939893
0xc2C7E949efAA399BaF7fa0dc7faf20fFFAd9d7B2,33857323558196,40628788269836
0x32329fD80bc1b2Fbf5861148590975F0E813bF49,720437041204114,864524449444937
0xC757065aE8cd8163b98382b4A3284B80aedff6CD,0,0
0x66F1daEa681Cb6A38e7539c0C3446d95DBcB9ebc,0,0
0x4861c074eaF91FAF914caDFB8AF6f0Fb8208CB11,1362695257163233,1635234308595880
0x7C3dB44C6D0fFcF5bB0C2FD9c8F5906256C91f3c,29054853999033,34865824798840
0x418c46e5dBF8409aFB48682f4eb63B74f85459F7,11980719613238748,14376863535886498
0xdd4c7f507d86665EFd1c6df75e14e11309285d26,552312681992983,662775218391580
0xE47afD5695dFB99ca9F29466a271Fae578b22E22,42024890277339,50429868332806
0x9aabd039fD0bF767Db26293a039998e85Bd31255,0,0
